,keywords,times,tf,idf,tfidf
942,in,346,0.013970202285298987,-5.846438775057725,-0.08167593233617204
213,at,246,0.009932571567004481,-5.5053315359323625,-0.054682099480734894
596,on,243,0.009811442645455647,-5.493061443340548,-0.0538948572992996
622,re,233,0.009407679573626196,-5.4510384535657,-0.05128162311466096
548,an,191,0.007711874671942504,-5.25227342804663,-0.040504874419869434
903,to,179,0.007227358985747163,-5.187385805840755,-0.03749109941638047
958,or,167,0.006742843299551823,-5.117993812416755,-0.034509830285202006
52,the,153,0.006177574998990592,-5.030437921392435,-0.031075907537168112
21,as,152,0.006137198691807648,-5.0238805208462765,-0.030832552960335692
503,Java,126,0.005087414705051076,-4.836281906951478,-0.02460417169119741
825,it,114,0.004602899018855735,-4.736198448394496,-0.02180024319122108
586,is,110,0.004441393790123955,-4.700480365792417,-0.020876684307230015
82,int,95,0.0038357491823797795,-4.553876891600541,-0.017467529563614945
853,of,73,0.0029474704243549884,-4.290459441148391,-0.012646002309679515
427,and,71,0.0028667178099890983,-4.2626798770413155,-0.012219900321796479
508,com,64,0.002584083659708483,-4.1588830833596715,-0.01074690181834776
804,are,60,0.002422578430976703,-4.0943445622221,-0.009918870825426012
636,all,60,0.002422578430976703,-4.0943445622221,-0.009918870825426012
905,no,58,0.002341825816610813,-4.060443010546419,-0.009508850268974535
710,hi,56,0.002261073202244923,-4.02535169073515,-0.009101614837532539
481,new,52,0.0020995679735131426,-3.951243718581427,-0.008295904767078541
714,obj,50,0.0020188153591472525,-3.912023005428146,-0.007897652128695736
697,for,50,0.0020188153591472525,-3.912023005428146,-0.007897652128695736
846,The,50,0.0020188153591472525,-3.912023005428146,-0.007897652128695736
678,Basics,49,0.0019784390519643072,-3.891820298110627,-0.007699729261009436
960,object,47,0.0018976864375984173,-3.8501476017100584,-0.007306372886517251
424,be,46,0.0018573101304154723,-3.828641396489095,-0.0071109744514272375
534,you,46,0.0018573101304154723,-3.828641396489095,-0.0071109744514272375
221,code,43,0.0017361812088666371,-3.7612001156935624,-0.006530124963654184
1003,But,42,0.001695804901683692,-3.7376696182833684,-0.006338358459559151
450,Button,41,0.001655428594500747,-3.713572066704308,-0.006147553386961547
590,class,40,0.001615052287317802,-3.6888794541139363,-0.005957733200006358
372,applet,38,0.001534299672951912,-3.6375861597263857,-0.005581147255202595
907,method,38,0.001534299672951912,-3.6375861597263857,-0.005581147255202595
463,not,36,0.0014535470585860218,-3.58351893845611,-0.005208813412380182
282,do,33,0.0013324181370371866,-3.4965075614664802,-0.0046588100911856035
538,use,32,0.0012920418298542416,-3.4657359027997265,-0.004477875757644901
42,data,31,0.0012516655226712965,-3.4339872044851463,-0.004298203389148445
695,Data,31,0.0012516655226712965,-3.4339872044851463,-0.004298203389148445
800,that,30,0.0012112892154883515,-3.4011973816621555,-0.004119833708154588
454,by,30,0.0012112892154883515,-3.4011973816621555,-0.004119833708154588
959,if,28,0.0011305366011224614,-3.332204510175204,-0.003767179161178411
155,All,28,0.0011305366011224614,-3.332204510175204,-0.003767179161178411
209,array,28,0.0011305366011224614,-3.332204510175204,-0.003767179161178411
313,your,27,0.0010901602939395163,-3.295836866004329,-0.003592990486619974
358,call,27,0.0010901602939395163,-3.295836866004329,-0.003592990486619974
604,serve,25,0.0010094076795736262,-3.2188758248682006,-0.0032491579772158524
457,public,24,0.0009690313723906812,-3.1780538303479458,-0.003079633864753531
30,jGuru,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
725,Rights,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
1012,Reserved,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
6,In,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
295,point,22,0.0008882787580247911,-3.0910424533583156,-0.002745707351471028
396,objects,22,0.0008882787580247911,-3.0910424533583156,-0.002745707351471028
199,refer,22,0.0008882787580247911,-3.0910424533583156,-0.002745707351471028
143,program,21,0.000847902450841846,-3.044522437723423,-0.002581458036588682
118,String,20,0.000807526143658901,-2.995732273553991,-0.002419132130297566
723,type,20,0.000807526143658901,-2.995732273553991,-0.002419132130297566
332,Applet,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
147,example,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
273,init,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
742,pre,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
581,one,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
104,here,18,0.0007267735292930109,-2.890371757896165,-0.00210064568345504
512,comment,18,0.0007267735292930109,-2.890371757896165,-0.00210064568345504
467,ack,17,0.0006863972221100658,-2.833213344056216,-0.001944709769005357
491,so,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
796,allocate,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
603,pointer,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
691,define,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
810,return,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
131,For,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
896,void,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
384,ten,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
444,memory,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
431,language,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
774,reference,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
973,This,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
814,const,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
704,types,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
34,can,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
18,port,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
387,element,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
16,run,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
632,but,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
922,make,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
906,operator,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
26,time,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
964,string,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
353,may,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
200,null,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
952,comments,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
23,No,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
901,param,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
53,has,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
612,with,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
58,browser,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
591,BasicsJava,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
871,out,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
599,up,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
665,methods,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
813,end,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
801,variable,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
432,same,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
239,system,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
520,runtime,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
919,this,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
594,defined,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
889,value,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
235,would,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
250,file,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
519,expr,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
391,application,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
380,form,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
404,following,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
193,any,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
830,main,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
957,called,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
744,To,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
480,parameter,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
850,two,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
411,have,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
523,primitive,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
45,java,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
625,boolean,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
178,ill,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
501,does,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
819,cause,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
414,source,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
374,byte,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
146,applets,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
583,An,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
289,applications,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
471,when,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
388,ints,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
69,constant,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
937,size,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
433,programs,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
196,bit,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
119,style,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
908,there,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
882,definition,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
770,collection,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
544,You,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
962,these,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
140,garbage,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
390,table,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
185,OK,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
425,state,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
296,draw,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
663,literal,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
983,such,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
935,args,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
504,foo,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
439,bits,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
101,via,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
843,button,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
565,contain,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
451,Stack,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
85,heap,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
25,thread,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
17,instance,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
248,execute,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
78,parameters,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
187,portable,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
115,arrays,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
220,automatic,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
845,equivalent,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
420,from,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
493,name,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
338,Object,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
664,need,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
530,pointers,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
350,sizeof,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
413,struct,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
994,they,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
114,create,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
3,width,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
90,calloc,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
298,Array,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
379,nor,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
312,platform,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
531,signed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
219,It,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
489,like,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
241,static,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
246,variables,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
674,import,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
205,using,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
470,while,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
303,write,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
699,should,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
979,instantiate,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
872,similar,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
759,way,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
1000,p1,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
926,other,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
978,version,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
44,used,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
426,length,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
575,Primitive,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
314,p2,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
342,compile,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
820,elements,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
963,machine,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
100,test,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
885,allocates,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
651,tag,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
277,threads,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
653,executed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
568,where,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
448,passed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
971,set,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
267,Note,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
167,effect,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
168,only,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
284,equal,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
811,because,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
474,very,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
740,don,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
361,predefined,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
276,statement,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
783,convert,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
887,semantics,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
500,place,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
294,Graphics,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
41,space,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
509,Garbage,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
777,else,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
306,strings,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
255,exception,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
884,look,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
786,clone,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
909,uses,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
731,Integer,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
309,System,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
728,library,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
133,must,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
129,makes,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
954,start,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
128,animations,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
683,We,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
11,println,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
145,drawn,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
763,document,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
459,stack,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
371,line,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
10,compiler,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
680,paint,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
395,extend,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
75,consider,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
823,invoke,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
698,initial,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
930,Expressions,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
982,definitions,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
214,NULL,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
938,true,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
526,view,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
848,pointernull,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
532,copy,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
198,free,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
756,As,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
661,super,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
336,stop,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
645,getParameter,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
560,How,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
545,WWW,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
